,title,price,address,details,builder,link,promo_title1,promo_content1,promo_title2,,promo_content2
11,"2417 Englemann Drive. Apex, NC 27502 ","From $742,090","2417 Englemann Drive. Apex, NC 27502","4 Br | 4 Ba | 2 Gr | 3,178 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2417-englemann-drive-apex-nc-27502/2883537,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
12,"2305 Field Poppy Drive. Apex, NC 27502 ",Contact Builder for Details,"2305 Field Poppy Drive. Apex, NC 27502","5 Br | 4.5 Ba | 2 Gr | 2,902 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2305-field-poppy-drive-apex-nc-27502/2691961,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
13,"2405 Englemann Drive. Apex, NC 27502 ","From $748,620","2405 Englemann Drive. Apex, NC 27502","4 Br | 4 Ba | 2 Gr | 3,178 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2405-englemann-drive-apex-nc-27502/2863455,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
14,"2426 Englemann Drive. Apex, NC 27502 ","From $790,910","2426 Englemann Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,952 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2426-englemann-drive-apex-nc-27502/2883918,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
15,"2313 Field Poppy Drive. Apex, NC 27502 ",Contact Builder for Details,"2313 Field Poppy Drive. Apex, NC 27502","4 Br | 4.5 Ba | 2 Gr | 2,952 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2313-field-poppy-drive-apex-nc-27502/2691963,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
16,"Harris | Apex, NC | Apex, NC","From $533,990","Harris | Apex, NC","3 Br | 2.5 Ba | 2 Gr | 2,052 sq ft",Pulte Homes,https://www.newhomesource.com/plan/harris-pulte-homes-apex-nc/3077881,"$2,000 Incentive for Hometown Heroes!*",,"Save Up To $15,000 in Closing Costs!",,
17,"Murray | Apex, NC | Apex, NC","From $568,990","Murray | Apex, NC","3 Br | 2.5 Ba | 2 Gr | 2,358 sq ft",Pulte Homes,https://www.newhomesource.com/plan/murray-pulte-homes-apex-nc/3077884,"$2,000 Incentive for Hometown Heroes!*",,"Save Up To $15,000 in Closing Costs!",,
18,"Preston | Apex, NC | Apex, NC","From $602,990","Preston | Apex, NC","4 Br | 3.5 Ba | 2 Gr | 2,567 sq ft",Pulte Homes,https://www.newhomesource.com/plan/preston-pulte-homes-apex-nc/3077885,"$2,000 Incentive for Hometown Heroes!*",,"Save Up To $15,000 in Closing Costs!",,
19,"2904 Huxley Way. Apex, NC 27502 ","From $639,120","2904 Huxley Way. Apex, NC 27502","3 Br | 2.5 Ba | 2 Gr | 2,052 sq ft",Pulte Homes,https://www.newhomesource.com/specdetail/2904-huxley-way-apex-nc-27502/2885665,"$2,000 Incentive for Hometown Heroes!*",,"Save Up To $15,000 in Closing Costs!",,
20,"2908 Huxley Way. Apex, NC 27502 ","From $712,780","2908 Huxley Way. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,567 sq ft",Pulte Homes,https://www.newhomesource.com/specdetail/2908-huxley-way-apex-nc-27502/2885666,"$2,000 Incentive for Hometown Heroes!*",,"Save Up To $15,000 in Closing Costs!",,
21,"2907 Huxley Way. Apex, NC 27502 ","From $719,240","2907 Huxley Way. Apex, NC 27502","3 Br | 2.5 Ba | 2 Gr | 2,364 sq ft",Pulte Homes,https://www.newhomesource.com/specdetail/2907-huxley-way-apex-nc-27502/2860465,"$2,000 Incentive for Hometown Heroes!*",,"Save Up To $15,000 in Closing Costs!",,
22,"2919 Huxley Way. Apex, NC 27502 ","From $738,690","2919 Huxley Way. Apex, NC 27502","3 Br | 2.5 Ba | 2 Gr | 2,364 sq ft",Pulte Homes,https://www.newhomesource.com/specdetail/2919-huxley-way-apex-nc-27502/2871594,"$2,000 Incentive for Hometown Heroes!*",,"Save Up To $15,000 in Closing Costs!",,
23,"Montclair | Apex, NC | Apex, NC","From $660,999","Montclair | Apex, NC","2 Br | 2 Ba | 2 Gr | 2,381 sq ft",Taylor Morrison,https://www.newhomesource.com/plan/montclair-taylor-morrison-apex-nc/2933799,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
24,"Ashford | Apex, NC | Apex, NC","From $716,999","Ashford | Apex, NC","4 Br | 2.5 Ba | 2 Gr | 2,700 sq ft",Taylor Morrison,https://www.newhomesource.com/plan/ashford-taylor-morrison-apex-nc/2714137,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
25,"Newport | Apex, NC | Apex, NC","From $725,999","Newport | Apex, NC","3 Br | 3 Ba | 2 Gr | 2,831 sq ft",Taylor Morrison,https://www.newhomesource.com/plan/newport-taylor-morrison-apex-nc/2714139,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
26,"Bedford | Apex, NC | Apex, NC","From $745,999","Bedford | Apex, NC","4 Br | 2.5 Ba | 2 Gr | 3,074 sq ft",Taylor Morrison,https://www.newhomesource.com/plan/bedford-taylor-morrison-apex-nc/2714138,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
27,"Sheridan | Apex, NC | Apex, NC","From $760,999","Sheridan | Apex, NC","4 Br | 2.5 Ba | 2 Gr | 3,236 sq ft",Taylor Morrison,https://www.newhomesource.com/plan/sheridan-taylor-morrison-apex-nc/2714140,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
28,"Berkley | Apex, NC | Apex, NC","From $777,999","Berkley | Apex, NC","3 Br | 2 Ba | 2 Gr | 2,741 sq ft",Taylor Morrison,https://www.newhomesource.com/plan/berkley-taylor-morrison-apex-nc/2933798,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
29,"800 Heathered Farm Way. Apex, NC 27523 ","From $789,999","800 Heathered Farm Way. Apex, NC 27523","4 Br | 3 Ba | 2 Gr | 2,880 sq ft",Taylor Morrison,https://www.newhomesource.com/specdetail/800-heathered-farm-way-apex-nc-27523/2843674,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
30,"Wayland | Apex, NC | Apex, NC","From $795,999","Wayland | Apex, NC","4 Br | 2.5 Ba | 2 Gr | 3,545 sq ft",Taylor Morrison,https://www.newhomesource.com/plan/wayland-taylor-morrison-apex-nc/2714141,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
31,"736 Heathered Farm Way. Apex, NC 27523 ","From $799,999","736 Heathered Farm Way. Apex, NC 27523","5 Br | 4.5 Ba | 2 Gr | 2,830 sq ft",Taylor Morrison,https://www.newhomesource.com/specdetail/736-heathered-farm-way-apex-nc-27523/2726197,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
32,"720 Heathered Farm Way. Apex, NC 27523 ","From $839,999","720 Heathered Farm Way. Apex, NC 27523","4 Br | 3 Ba | 2 Gr | 2,891 sq ft",Taylor Morrison,https://www.newhomesource.com/specdetail/720-heathered-farm-way-apex-nc-27523/2697677,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
33,"1705 Clydner Drive. Apex, NC 27523 ","From $839,999","1705 Clydner Drive. Apex, NC 27523","4 Br | 2.5 Ba | 2 Gr | 2,700 sq ft",Taylor Morrison,https://www.newhomesource.com/specdetail/1705-clydner-drive-apex-nc-27523/2877972,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
34,"541 Lauren Ann Drive. Apex, NC 27523 ","From $849,990","541 Lauren Ann Drive. Apex, NC 27523","4 Br | 3 Ba | 2 Gr | 2,891 sq ft",Taylor Morrison,https://www.newhomesource.com/specdetail/541-lauren-ann-drive-apex-nc-27523/2886634,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
35,"804 Heathered Farm Way. Apex, NC 27523 ","From $854,999","804 Heathered Farm Way. Apex, NC 27523","4 Br | 3.5 Ba | 2 Gr | 2,891 sq ft",Taylor Morrison,https://www.newhomesource.com/specdetail/804-heathered-farm-way-apex-nc-27523/2866754,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
36,"2620 Stonington Drive. Apex, NC 27523 ","From $999,999","2620 Stonington Drive. Apex, NC 27523","5 Br | 4.5 Ba | 2 Gr | 2,820 sq ft",Taylor Morrison,https://www.newhomesource.com/specdetail/2620-stonington-drive-apex-nc-27523/2808176,Reduced rates are here. Save Now!,Reduced rates just dropped: Conventional 30-year fixed rate 5.49% / 5.57% APR*,,,
37,"2719 Hunter Woods Drive. Apex, NC 27502 ","From $499,315","2719 Hunter Woods Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,214 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2719-hunter-woods-drive-apex-nc-27502/2879642,Built for Great Rates in Friendship Station Townhomes,"For a limited time in Friendship Station Townhomes, you can secure a 1/0 buydown with first-year rates as low as 4.375%* / 6.128% APR* on a 30-year FHA loan when you close on your new home by March 31, 2025.",,,
38,"2370 Bay Minette Station. Apex, NC 27502 ","From $499,999","2370 Bay Minette Station. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2370-bay-minette-station-apex-nc-27502/2784058,Built for Great Rates in Friendship Station Townhomes,"For a limited time in Friendship Station Townhomes, you can secure a 1/0 buydown with first-year rates as low as 4.375%* / 6.128% APR* on a 30-year FHA loan when you close on your new home by March 31, 2025.",,,
39,"2360 Bay Minette Station. Apex, NC 27502 ","From $499,999","2360 Bay Minette Station. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2360-bay-minette-station-apex-nc-27502/2786393,Built for Great Rates in Friendship Station Townhomes,"For a limited time in Friendship Station Townhomes, you can secure a 1/0 buydown with first-year rates as low as 4.375%* / 6.128% APR* on a 30-year FHA loan when you close on your new home by March 31, 2025.",,,
40,"2735 Hunter Woods Drive. Apex, NC 27502 ","From $500,195","2735 Hunter Woods Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,214 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2735-hunter-woods-drive-apex-nc-27502/2831399,Built for Great Rates in Friendship Station Townhomes,"For a limited time in Friendship Station Townhomes, you can secure a 1/0 buydown with first-year rates as low as 4.375%* / 6.128% APR* on a 30-year FHA loan when you close on your new home by March 31, 2025.",,,
41,"2731 Hunter Woods Drive. Apex, NC 27502 ","From $503,115","2731 Hunter Woods Drive. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2731-hunter-woods-drive-apex-nc-27502/2831398,Built for Great Rates in Friendship Station Townhomes,"For a limited time in Friendship Station Townhomes, you can secure a 1/0 buydown with first-year rates as low as 4.375%* / 6.128% APR* on a 30-year FHA loan when you close on your new home by March 31, 2025.",,,
42,"2323 Bay Minette Station. Apex, NC 27502 ","From $503,625","2323 Bay Minette Station. Apex, NC 27502","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2323-bay-minette-station-apex-nc-27502/2804884,Built for Great Rates in Friendship Station Townhomes,"For a limited time in Friendship Station Townhomes, you can secure a 1/0 buydown with first-year rates as low as 4.375%* / 6.128% APR* on a 30-year FHA loan when you close on your new home by March 31, 2025.",,,
43,"3012 Freewinds Way. Cary, NC 27519 ","From $560,000","3012 Freewinds Way. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,169 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/3012-freewinds-way-cary-nc-27519/2740484,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
44,"2205 Lambert Road. Cary, NC 27519 ","From $573,270","2205 Lambert Road. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,214 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2205-lambert-road-cary-nc-27519/2879646,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
45,"5027 Jowetts Walk Drive. Cary, NC 27519 ","From $577,230","5027 Jowetts Walk Drive. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,156 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/5027-jowett-s-walk-drive-cary-nc-27519/2864572,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
46,"2207 Lambert Road. Cary, NC 27519 ","From $582,795","2207 Lambert Road. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,244 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2207-lambert-road-cary-nc-27519/2879647,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
47,"1304 Alston Landing Way. Cary, NC 27519 ","From $582,980","1304 Alston Landing Way. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,214 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/1304-alston-landing-way-cary-nc-27519/2794436,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
48,"3010 Freewinds Way. Cary, NC 27519 ","From $583,230","3010 Freewinds Way. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,169 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/3010-freewinds-way-cary-nc-27519/2740483,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
49,"3024 Freewinds Way. Cary, NC 27519 ","From $583,520","3024 Freewinds Way. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,169 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/3024-freewinds-way-cary-nc-27519/2831406,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
50,"2203 Lambert Road. Cary, NC 27519 ","From $584,070","2203 Lambert Road. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2203-lambert-road-cary-nc-27519/2879648,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
51,"3026 Freewinds Way. Cary, NC 27519 ","From $586,860","3026 Freewinds Way. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,169 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/3026-freewinds-way-cary-nc-27519/2831405,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
52,"5029 Jowetts Walk Drive. Cary, NC 27519 ","From $587,280","5029 Jowetts Walk Drive. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,184 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/5029-jowett-s-walk-drive-cary-nc-27519/2864578,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
53,"2201 Lambert Road. Cary, NC 27519 ","From $587,635","2201 Lambert Road. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2201-lambert-road-cary-nc-27519/2879649,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
54,"2103 Lambert Road. Cary, NC 27519 ","From $587,715","2103 Lambert Road. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2103-lambert-road-cary-nc-27519/2766620,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
55,"3006 Freewinds Way. Cary, NC 27519 ","From $587,730","3006 Freewinds Way. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,184 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/3006-freewinds-way-cary-nc-27519/2739505,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
56,"3020 Freewinds Way. Cary, NC 27519 ","From $587,730","3020 Freewinds Way. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,184 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/3020-freewinds-way-cary-nc-27519/2831403,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
57,"1204 Alston Landing Way. Cary, NC 27519 ","From $588,320","1204 Alston Landing Way. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/1204-alston-landing-way-cary-nc-27519/2850010,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
58,"2107 Lambert Road. Cary, NC 27519 ","From $588,670","2107 Lambert Road. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2107-lambert-road-cary-nc-27519/2768889,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
59,"5031 Jowetts Walk Drive. Cary, NC 27519 ","From $590,480","5031 Jowetts Walk Drive. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,169 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/5031-jowett-s-walk-drive-cary-nc-27519/2864573,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
60,"5025 Jowetts Walk Drive. Cary, NC 27519 ","From $594,620","5025 Jowetts Walk Drive. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,171 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/5025-jowett-s-walk-drive-cary-nc-27519/2864579,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
61,"2006 Lambert Road. Cary, NC 27519 ",Contact Builder for Details,"2006 Lambert Road. Cary, NC 27519","4 Br | 3.5 Ba | 2 Gr | 2,227 sq ft",M/I Homes,https://www.newhomesource.com/specdetail/2006-lambert-road-cary-nc-27519/2834199,Built for You,"M/I Homes is built for you, offering savings, financial flexibility, and lower payments. For a limited time, enjoy up to $25,000 in paid closing costs on select Quick Move-In homes.",,,
62,"Ashdale | Cary, NC | Cary, NC","From $1,357,995","Ashdale | Cary, NC","5 Br | 4.5 Ba | 2 Gr | 3,995 sq ft",Toll Brothers,https://www.newhomesource.com/plan/ashdale-toll-brothers-cary-nc/3089989,"Toll Brothers National Sales Event-Limited-Time Incentives*, extended through 2/17/25.","Don't miss this opportunity for special savings now to make the most of your new Toll Brothers home. Choose from a wide selection of move-in ready homes, homes nearing completion, or home designs ready to be built for you. Find your new home today.",,,
63,"Dunmore | Cary, NC | Cary, NC","From $1,357,995","Dunmore | Cary, NC","4 Br | 3.5 Ba | 2 Gr | 4,050 sq ft",Toll Brothers,https://www.newhomesource.com/plan/dunmore-toll-brothers-cary-nc/3089991,"Toll Brothers National Sales Event-Limited-Time Incentives*, extended through 2/17/25.","Don't miss this opportunity for special savings now to make the most of your new Toll Brothers home. Choose from a wide selection of move-in ready homes, homes nearing completion, or home designs ready to be built for you. Find your new home today.",,,
64,"Stoneridge | Cary, NC | Cary, NC","From $1,402,995","Stoneridge | Cary, NC","4 Br | 3.5 Ba | 2 Gr | 4,270 sq ft",Toll Brothers,https://www.newhomesource.com/plan/stoneridge-toll-brothers-cary-nc/3089992,"Toll Brothers National Sales Event-Limited-Time Incentives*, extended through 2/17/25.","Don't miss this opportunity for special savings now to make the most of your new Toll Brothers home. Choose from a wide selection of move-in ready homes, homes nearing completion, or home designs ready to be built for you. Find your new home today.",,,
65,"Halstead | Cary, NC | Cary, NC","From $1,442,995","Halstead | Cary, NC","4 Br | 4.5 Ba | 2 Gr | 4,725 sq ft",Toll Brothers,https://www.newhomesource.com/plan/halstead-toll-brothers-cary-nc/3089988,"Toll Brothers National Sales Event-Limited-Time Incentives*, extended through 2/17/25.","Don't miss this opportunity for special savings now to make the most of your new Toll Brothers home. Choose from a wide selection of move-in ready homes, homes nearing completion, or home designs ready to be built for you. Find your new home today.",,,
66,"Kendrick | Cary, NC | Cary, NC","From $1,525,995","Kendrick | Cary, NC","5 Br | 5.5 Ba | 3 Gr | 5,155 sq ft",Toll Brothers,https://www.newhomesource.com/plan/kendrick-toll-brothers-cary-nc/3089990,"Toll Brothers National Sales Event-Limited-Time Incentives*, extended through 2/17/25.","Don't miss this opportunity for special savings now to make the most of your new Toll Brothers home. Choose from a wide selection of move-in ready homes, homes nearing completion, or home designs ready to be built for you. Find your new home today.",,,
67,"Hutton | Apex, NC | Apex, NC",Contact Builder for Details,"Hutton | Apex, NC","3 Br | 2.5 Ba | 2 Gr | 2,398 sq ft",Pulte Homes,https://www.newhomesource.com/plan/hutton-pulte-homes-apex-nc/3213031,"$2,000 Incentive for Hometown Heroes!*",,,,
68,"4816 Cypress Tree Lane. Raleigh, NC 27612 ","From $631,309","4816 Cypress Tree Lane. Raleigh, NC 27612","3 Br | 3.5 Ba | 2 Gr | 2,298 sq ft",Tri Pointe Homes,https://www.newhomesource.com/specdetail/4816-cypress-tree-lane-raleigh-nc-27612/2795290,Well-Being by Design,"Join our neighborhood interest list to be among the first to receive neighborhood updates, available homes, pricing, upcoming events and more! This info will help guide you in your new home search, and trust us, you will love what¡¯s ahead.",,,
